仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,601717,郑煤机,-12800,-479.47,10.37,,,,,,
msm7haiti,2353,杰瑞股份,-7000,-1115.82,33.71,,,,,,
msm7haiti,2214,大立科技,-6200,-1946.01,27.37,,,,,,
msm7haiti,300072,三聚环保,-5600,-1002.73,5.63,,,,,,
msm7haiti,2466,天齐锂业,-4100,-6439.69,35.65,,,,,,
msm7haiti,688389,,-3020,0,20.67,,,,,,
msm7haiti,688030,,-2831,0,29.99,,,,,,
msm7haiti,300357,我武生物,-1700,234.85,74.96,,,,,,
msm7haiti,2382,蓝帆医疗,-1000,404.45,22.3,,,,,,
msm7haiti,2202,金风科技,-1000,-412.53,14.01,,,,,,
msm7haiti,2007,华兰生物,-1000,352.41,42.32,,,,,,
msm7haiti,688015,,-200,0,37.18,,,,,,
msm7haiti,688288,,-100,-2.71,35.69,,,,,,
msm7haiti,300251,光线传媒,-100,15.22,11.18,,,,,,
msm7haiti,688021,,55,0,61.24,,,,,,
msm7haiti,300595,,300,571.04,78.7,,,,,,
msm7haiti,688099,,1300,-1584.11,74.3,,,,,,
msm7haiti,600765,中航重机,1300,153.65,19.85,,,,,,
msm7haiti,2238,天威视讯,9900,851.73,7.13,,,,,,
msm7haiti,100,TCL集团,29600,1747.59,6.71,,,,,,
msm7haiti,813,天山纺织,33000,-9183.47,5.23,,,,,,
总利润：,-24887.86681,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
已完成交易,,,,,,,,,,,
9:41:32,msm7haiti,SJNAT904eae16bd454cc1a4d4e14c11c38e4a,181,688099,,74.37,2300,74.3,2300,0,已成
9:41:53,msm7haiti,SJNAT89091c93b20d441c8d6e8d5c3bd2c234,183,688011,,49.95,300,0,0,300,已撤
9:41:55,msm7haiti,SJNATf893bf44e8e740f4980762bd5d087782,184,600765,中航重机,19.85,3500,19.85,3500,0,已成
9:41:58,msm7haiti,SJNAT19a3c11d354749b38b6868b477e4b6a0,185,688021,,61.91,-800,0,0,800,已撤
9:42:01,msm7haiti,SJNATd76f39eca6b4414ea58e8e47bf7f3b1c,188,688021,,61.91,-500,0,0,500,已撤
9:42:55,msm7haiti,SJNAT5ea3d9bcd520471ba5f9a4e8173795b2,189,601717,郑煤机,10.37,-7000,10.37671,-7000,0,已成
9:42:57,msm7haiti,SJNATc490b16783d746b189a0cf42b5fe0716,190,2812,,142.12,1400,142,1400,0,已成
9:43:27,msm7haiti,SJNAT2780d8df8f28448b8220f288dd104fe2,193,601717,郑煤机,10.38,-5200,0,0,0,废单
9:43:29,msm7haiti,SJNATb95610a080664b8ca3e4676997cb07e6,194,688196,,64.82,300,0,0,300,已撤
9:43:30,msm7haiti,SJNAT9cbd18f19e3f4e5386ee340b68498683,195,688022,,32.6,3000,0,0,3000,已撤
9:43:30,msm7haiti,SJNAT39daf88fd1cc4df5b81f6b9770d199be,196,601717,郑煤机,10.37,-5100,0,0,0,废单
9:43:54,msm7haiti,SJNATefbc19c32dd34bf485278dda0568d1e8,197,688021,,62.19,-600,0,0,600,已撤
9:43:56,msm7haiti,SJNATb1d8162b3ada4ca7beaf6d929d37108c,198,601717,郑煤机,10.36,-6700,0,0,0,废单
9:43:58,msm7haiti,SJNATb74352bc33be4ca5bcc422f8c044d576,199,601717,郑煤机,10.36,-6700,0,0,0,废单
9:44:27,msm7haiti,SJNATba13f0106fb149be9d7fb8a54111da54,201,601717,郑煤机,10.37,-6700,0,0,0,废单
9:44:30,msm7haiti,SJNATcbf9ef3c43b04e3b9fef1c608d10c321,202,600733,S前锋,8.46,-23500,0,0,23500,已撤
9:44:30,msm7haiti,SJNAT34eb2f0a848b491d8eedaf369fa39316,203,601717,郑煤机,10.36,-6700,0,0,0,废单
9:44:56,msm7haiti,SJNAT40716300faf44c3ab7ba454acaee8984,207,601717,郑煤机,10.37,-6700,0,0,0,废单
9:45:27,msm7haiti,SJNAT5709c3072cca4aeab088d0a4854d7df9,208,600456,宝钛股份,46.76,-2000,0,0,2000,已撤
9:45:29,msm7haiti,SJNAT859343f43d21458eb5c948cb1b247bb1,209,688196,,65.2,-500,65.2134,-500,0,已成
9:45:31,msm7haiti,SJNATd4cd9de21d35419f93a7f993750c85c6,211,688389,,20.45,-300,20.45,-300,0,已成
9:45:54,msm7haiti,SJNAT10821baeff4b4843a04f26bc3fbb8fdf,212,688389,,20.52,-1000,0,0,1000,已撤
9:46:23,msm7haiti,SJNAT62990e3dc9f547b1bf6a803ec6182f23,214,688389,,20.48,-1000,0,0,1000,已撤
9:46:25,msm7haiti,SJNAT44ab9f33f20548a1b55b9f789d117a32,215,688021,,62.88,-200,62.88,-200,0,已成
9:46:32,msm7haiti,SJNAT19c173c2a6e5487085467d21bb1200b1,216,688021,,62.93,-2400,0,0,2400,已撤
9:47:31,msm7haiti,SJNAT533f8931a13e4735b754e184658623bd,219,688021,,62.61,-800,0,0,800,已撤
9:47:56,msm7haiti,SJNAT3552d98fb24b4866b3dba2f3e1f060e9,221,2085,万丰奥威,6.32,-26000,6.32,-26000,0,已成
9:48:25,msm7haiti,SJNAT7651049e2a65483d83e0a53d361ddefc,222,688389,,20.6,-700,0,0,700,已撤
