未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:01:26.567,mslh18hait6618,5739,000733,振华科技,55,1800,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
09:55:34,mslh18hait6618,SJNAT39549b70a2a041e1b41f00656e043bfd,5455,688333,铂力特,144.59,-100,0,0,0,废单
09:55:54,mslh18hait6618,SJNAT293c680a5c1a4a8f8d09f5d42601003d,5467,603589,口子窖,65.71,-1900,65.75105,-1900,0,已成
09:55:55,mslh18hait6618,SJNAT2d202e8ba2894c8d9c089a0143c9a1e7,5470,603583,捷昌驱动,69.57,600,69.57,600,0,已成
09:55:57,mslh18hait6618,SJNAT257733ee94334044a49af5e5b108bb2e,5473,603185,上机数控,137.08,-700,137.21,-700,0,已成
09:55:59,mslh18hait6618,SJNAT2918289298734a35880de5cedd84ff95,5476,600515,海航基础,7.01,16100,7.01,16100,0,已成
09:55:59,mslh18hait6618,SJNAT45810050552b4cf39e391b48fe82fde1,5480,688333,铂力特,144.97,-100,0,0,0,废单
09:55:59,mslh18hait6618,SJNATd114bed44b104fd096edbb3505a18ac7,5482,300233,金城医药,20.03,900,20.03,900,0,已成
09:56:00,mslh18hait6618,SJNATbdb764b89c3a48628ccfa1393268ad32,5485,688099,晶晨股份,77.3,600,0,0,600,已撤
09:56:00,mslh18hait6618,SJNATb2e92d1263d54baa9eeed61040be381a,5486,603185,上机数控,137.08,-700,137.25,-700,0,已成
09:56:01,mslh18hait6618,SJNATecd3c6717eba463c87fa9ea82b31a2f8,5487,600711,盛屯矿业,8.82,-101900,8.82,-101900,0,已成
09:56:02,mslh18hait6618,SJNATef234eceff7449188f73002a112927bb,5489,688333,铂力特,144.97,-100,0,0,0,废单
09:56:03,mslh18hait6618,SJNATa915e17d88d048cf8a9ccef2ef08f9c9,5491,300233,金城医药,20.03,700,0,0,700,已撤
09:56:28,mslh18hait6618,SJNAT0e9f3d1586624e0faaab2f8051633600,5502,002407,多氟多,18.63,3400,0,0,3400,已撤
09:56:28,mslh18hait6618,SJNATc7b037803a894820b3592f7c954cca5f,5504,600189,吉林森工,10.26,-12700,10.26165,-12700,0,已成
09:56:28,mslh18hait6618,SJNAT441f75d897104e7f9c4e2580e86d1f19,5507,000058,深 赛 格,6.44,-100,6.44,-100,0,已成
09:56:29,mslh18hait6618,SJNAT5563ad6068d0499d88da8d51379986ea,5509,603690,至纯科技,42.83,900,42.8,900,0,已成
09:56:29,mslh18hait6618,SJNAT8e4299eb689e46b49889455c698ab1f3,5511,600861,北京城乡,18.23,-600,0,0,600,已撤
09:56:31,mslh18hait6618,SJNAT19f9b2374b63473b8b9aba7a00743fca,5514,300726,宏达电子,70.17,1000,70.13,1000,0,已成
09:56:32,mslh18hait6618,SJNAT858956dfb39542c48f6fae2d72c01f02,5515,600189,吉林森工,10.24,-19100,10.24,-19100,0,已成
09:56:32,mslh18hait6618,SJNATf5bb807100f54350a1b9f853b60b2fef,5517,688333,铂力特,144.94,-100,0,0,0,废单
09:56:54,mslh18hait6618,SJNATe1b2743665a54acaa31f9f31c4a6eae4,5531,600711,盛屯矿业,8.75,158500,8.75,85900,72600,已撤
09:56:57,mslh18hait6618,SJNATe82ce191554646e49a63a65fe6c659ba,5533,002756,永兴材料,49.11,6300,0,0,6300,已撤
