stock_code,current_amount,cost_price,income_balance,last_price
603033,900,0,494.63,23.52
603035,5600,0,-4716.08,13.15
603039,400,0,906.17,95.8
603055,500,0,-21.52,6.08
603056,400,0,63.18,12.23
603060,1279,0,-3537.63,18.45
603063,42400,0,77819.8,18.45
603069,22400,0,68138.62,23.16
603078,100,0,-784.09,33.47
603096,4900,0,-5120.59,51.2
603100,1500,0,-325.93,11
603103,700,0,3,17.2
603108,200,0,-401.55,10.84
603111,100,0,6.91,5.5
603113,5200,0,-31599.85,16.12
603115,700,0,-993.96,14.92
603127,1000,0,-41470.77,101
603128,12600,0,2109.25,8.95
603131,7540,0,2820.72,27.21
603156,3540,0,-4372.8,25.65
603158,200,0,784.69,19.93
603160,100,0,1477.17,150.83
603167,0,0,0,
603179,1189,0,-23419.06,31.98
603181,800,0,-641.51,19.5
603185,13200,0,612219.24,136.98
603186,0,0,0,
603187,1900,0,44981.7,60.9
603198,12624,0,-30031.59,34.58
603218,52228,0,-120762.71,29.09
603220,100,0,60.97,14.39
603223,0,0,0,
603225,3100,0,10.23,13.39
603228,100,0,54.51,29.4
603229,1800,0,-6942.97,36.92
603232,200,0,-5332.3,26.4
603233,400,0,-313.44,79.18
603236,100,0,872.39,187.08
603238,100,0,-98.71,31.37
603239,0,0,0,
603256,1500,0,132.61,9.08
603258,300,0,192.75,30.87
603260,1800,0,-11620.85,32.81
603267,1100,0,-1095.38,124
603277,3400,0,-6441.7,12.12
603288,3700,0,30850.14,197.39
603297,100,0,-72.54,35.9
603298,2800,0,15707.27,22.09
603299,3600,0,861.43,6.71
719,100,0,4.9,6.84
723,30300,0,4566.2,6.4
725,115000,0,-91076.44,5.59
728,1200,0,-79.91,8.52
729,40181,0,14317.02,8.42
733,10800,0,-195042.06,55.91
736,100,0,-336.97,6.67
738,10700,0,-20105.7,21.83
739,2900,0,-1056.95,22.72
750,3300,0,-68280.67,5.51
758,22700,0,-5237.53,4.99
300726,1000,0,20161.81,70.31
300729,500,0,-5231.14,41.97
300737,900,0,-24111,20.84
300738,100,0,271.81,33.42
300739,300,0,-399.53,19.17
300740,4100,0,-2473.57,16.5
300741,1000,0,-21104.56,54.27
300747,14638,0,-106708.98,82.02
300758,100,0,-42.21,22.19
300759,1400,0,8341.96,119.02
300760,0,0,0,
300761,100,0,84.53,31.77
300762,200,0,-68.69,40.05
300765,100,0,-154.24,18.15
300766,3700,0,-28420.7,15.96
300767,100,0,59.54,71.3
300768,100,0,-309.62,36.36
300770,1100,0,-7325.66,67.68
300772,3000,0,2533.24,15.57
300773,1800,0,-2014.24,28.33
300775,3200,0,5640.71,37.21
300777,1700,0,-454.18,47.66
300781,19100,0,-705283.33,30
300782,1300,0,318953.3,579.74
300783,400,0,-199.26,40.35
300787,0,0,0,
300791,100,0,-329.31,84.3
300792,100,0,247.51,107.7
300800,400,0,-159.68,27.62
2913,100,0,-338.17,59.17
2916,400,0,3978.93,106.98
2918,900,0,8293.2,32.98
2919,0,0,0,
2920,2800,0,3477.94,76.76
2925,100,0,-2709.27,61.49
2930,100,0,-4817.16,19.69
2931,0,0,0,
2932,0,0,0,
2933,100,0,-29.5,33.35
2935,5200,0,4231.24,27.39
2938,11300,0,-70155.65,49.6
2939,0,0,0,
2942,100,0,-433.01,28.08
2946,28800,0,-81070.99,17.82
2949,100,0,-3652.08,18.79
2956,1100,0,376.77,28.7
2957,0,0,0,
2959,1000,0,-32327.35,110.75
2961,0,0,0,
2962,0,0,0,
2966,400,0,3.55,7.49
2967,3000,0,10439.57,34.1
2968,100,0,-213.76,48.75
2970,100,0,84.25,50.58
300003,1000,0,-3224.09,26.84
300006,500,0,-2675.42,7.41
300007,200,0,-137.23,15.54
300008,22000,0,-24087.48,5.41
300801,0,0,0,
300009,0,0,0,
300010,8000,0,1069.19,9.86
300011,0,0,0,
300012,3200,0,3649.31,26.32
300015,3700,0,-2959.24,71.46
300017,700,0,-46.17,6.74
300019,4300,0,-12730.99,17.44
300020,100,0,-44.02,8.01
300021,1100,0,-125.63,5.49
300026,4000,0,-21.93,4.55
300027,0,0,0,
300031,200,0,94.77,18.29
300033,200,0,-742.77,117.49
300034,21100,0,-30107.14,32.46
300036,100,0,-807.2,17.75
300037,5800,0,-20280.77,96.8
300038,700,0,-796.5,3.93
300041,400,0,205.21,13.81
300053,400,0,-2822.86,8.7
300057,1200,0,-861.01,5.07
300058,1100,0,298.45,5.95
300059,53600,0,-94957.07,27.59
300061,700,0,-241.62,4.82
300062,0,0,0,
